Year,Month,Temperature,Rainfall,Humidity,CO2,Sea_Level,Wind_Speed
2015,1,21.5,110,60,395,3.1,12
2015,2,22.0,120,62,396,3.2,11
2015,3,23.1,130,65,397,3.3,10
2016,1,22.2,140,63,398,3.4,13
2016,2,23.0,150,66,399,3.5,12
2016,3,24.2,160,68,400,3.6,11
2017,1,23.5,155,64,402,3.7,14
2017,2,24.1,165,67,403,3.8,13
2017,3,25.3,175,70,404,3.9,12
2018,1,24.0,170,65,405,4.0,15
2018,2,25.2,180,68,406,4.1,14
2018,3,26.4,190,72,407,4.2,13
2019,1,25.1,185,66,408,4.3,16
2019,2,26.0,195,70,409,4.4,15
2019,3,27.2,205,74,410,4.5,14
2020,1,26.3,200,68,412,4.6,17
2020,2,27.1,210,72,413,4.7,16
2020,3,28.4,220,75,414,4.8,15
2021,1,27.5,215,70,416,4.9,18
2021,2,28.2,225,73,417,5.0,17
2021,3,29.5,235,77,418,5.1,16
2022,1,28.8,230,72,420,5.2,19
2022,2,29.4,240,75,421,5.3,18
2022,3,30.6,250,78,422,5.4,17
